3 : wiRenderer Initialized  S:1679MBV: (1679,7) 
356 : Graphics Card Used: NVIDIA GeForce RTX 3060                                             S:320MB V: (1999,9)     
360915 : gun 22:lowpoly\Crude Mallet\gunspec.txt                                              S:0MB   V: (4272,1574)  
360923 : gun 23:lowpoly\Cruel Spiked Mallet\gunspec.txt                                       S:0MB   V: (4272,1574)  
360930 : gun 24:lowpoly\Curved Sabre\gunspec.txt                                              S:0MB   V: (4272,1574)  
360977 : gun 25:lowpoly\Dryad Foxglove Rod\gunspec.txt                                        S:0MB   V: (4272,1574)  
360989 : gun 26:lowpoly\Dryad Wand\gunspec.txt                                                S:0MB   V: (4272,1574)  
360996 : gun 27:lowpoly\Dull Cleaver\gunspec.txt                                              S:0MB   V: (4272,1574)  
361004 : gun 28:lowpoly\Elemental Acid Cleaver\gunspec.txt                                    S:0MB   V: (4272,1574)  
361012 : gun 29:lowpoly\Elemental Fire Cleaver\gunspec.txt                                    S:0MB   V: (4272,1574)  
361020 : gun 30:lowpoly\Elemental Poison Cleaver\gunspec.txt                                  S:0MB   V: (4272,1574)  
361027 : gun 31:lowpoly\Guarded Sabre\gunspec.txt                                             S:0MB   V: (4272,1574)  
361035 : gun 32:lowpoly\Heavy Battle Hammer\gunspec.txt                                       S:0MB   V: (4272,1574)  
361043 : gun 33:lowpoly\Heavy Crossblade Axe\gunspec.txt                                      S:0MB   V: (4272,1574)  
361051 : gun 34:lowpoly\Heavy Lumphammer\gunspec.txt                                          S:0MB   V: (4272,1574)  
361059 : gun 35:lowpoly\Infernal Reaver\gunspec.txt                                           S:0MB   V: (4272,1574)  
361069 : gun 36:lowpoly\Jagged Cleaver\gunspec.txt                                            S:0MB   V: (4272,1574)  
361077 : gun 37:lowpoly\Knobbled Baton\gunspec.txt                                            S:0MB   V: (4272,1574)  
361085 : gun 38:lowpoly\Mechanical Cleaver\gunspec.txt                                        S:0MB   V: (4272,1574)  
361092 : gun 39:lowpoly\Mystic Sabre\gunspec.txt                                              S:0MB   V: (4272,1574)  
361100 : gun 40:lowpoly\Mystic Short Cleaver\gunspec.txt                                      S:0MB   V: (4272,1574)  
361107 : gun 41:lowpoly\Necromancer Blade\gunspec.txt                                         S:0MB   V: (4272,1574)  
361115 : gun 42:lowpoly\Necromancer Greatax\gunspec.txt                                       S:0MB   V: (4272,1574)  
361123 : gun 43:lowpoly\Ornate Broadhead Mallet\gunspec.txt                                   S:0MB   V: (4272,1574)  
361131 : gun 44:lowpoly\Pious Shortsword\gunspec.txt                                          S:0MB   V: (4272,1574)  
361139 : gun 45:lowpoly\Plain Cleaver\gunspec.txt                                             S:0MB   V: (4272,1574)  
361146 : gun 46:lowpoly\Poison Core Cleaver\gunspec.txt                                       S:0MB   V: (4272,1574)  
361155 : gun 47:lowpoly\Reapers Scythe\gunspec.txt                                            S:0MB   V: (4272,1574)  
361162 : gun 48:lowpoly\Ripped Broadsword\gunspec.txt                                         S:0MB   V: (4272,1574)  
361170 : gun 49:lowpoly\Serrated Chopper\gunspec.txt                                          S:0MB   V: (4272,1574)  
361178 : gun 50:lowpoly\Sharp Chopper\gunspec.txt                                             S:0MB   V: (4272,1574)  
361185 : gun 51:lowpoly\Sharp Greatax\gunspec.txt                                             S:0MB   V: (4272,1574)  
361193 : gun 52:lowpoly\Short Cleaver\gunspec.txt                                             S:0MB   V: (4272,1574)  
361200 : gun 53:lowpoly\Short Iron Cleaver\gunspec.txt                                        S:0MB   V: (4272,1574)  
361208 : gun 54:lowpoly\Solid Steel Maul\gunspec.txt                                          S:0MB   V: (4272,1574)  
361216 : gun 55:lowpoly\Spiked Heavy Cleaver\gunspec.txt                                      S:0MB   V: (4272,1574)  
361224 : gun 56:lowpoly\Spiked Sledgehammer\gunspec.txt                                       S:0MB   V: (4272,1574)  
361233 : gun 57:lowpoly\Spikey Club\gunspec.txt                                               S:0MB   V: (4272,1574)  
361241 : gun 58:lowpoly\Stout Heavy Blade\gunspec.txt                                         S:0MB   V: (4272,1574)  
361252 : gun 59:lowpoly\Stripped Baton\gunspec.txt                                            S:0MB   V: (4272,1574)  
361260 : gun 60:lowpoly\Stylish Chopper\gunspec.txt                                           S:0MB   V: (4272,1574)  
361269 : gun 61:lowpoly\Templar Mace\gunspec.txt                                              S:0MB   V: (4272,1574)  
361277 : gun 62:lowpoly\Thunderous Warhammer\gunspec.txt                                      S:0MB   V: (4272,1574)  
361285 : gun 63:lowpoly\Wicked Longsword\gunspec.txt                                          S:0MB   V: (4272,1574)  
361293 : gun 64:lowpoly\Wight Blade\gunspec.txt                                               S:0MB   V: (4272,1574)  
361301 : gun 65:lowpoly\Woodchopper\gunspec.txt                                               S:0MB   V: (4272,1574)  
361309 : gun 66:lowpoly\Wooden Rod\gunspec.txt                                                S:0MB   V: (4272,1574)  
361317 : gun 67:max\Colt\gunspec.txt                                                          S:0MB   V: (4272,1574)  
361326 : gun 68:modern\RPG\gunspec.txt                                                        S:0MB   V: (4272,1574)  
361334 : gun 69:Slot Not Used\gunspec.txt                                                     S:0MB   V: (4272,1574)  
361341 : gun 70:tools\Hammer\gunspec.txt                                                      S:0MB   V: (4272,1574)  
361350 : gun 71:tools\Handsaw\gunspec.txt                                                     S:0MB   V: (4272,1574)  
361357 : gun 72:tools\Shovel\gunspec.txt                                                      S:0MB   V: (4272,1574)  
361397 : total guns=72                                                                        S:0MB   V: (4272,1574)  
361460 : new total guns=72                                                                    S:0MB   V: (4272,1574)  
362869 : LOAD PLAYER SOUNDS                                                                   S:0MB   V: (4272,1574)  
363300 : CREATING TERRAIN                                                                     S:22MB  V: (4294,1574)  
363308 : NEWMAP: Starting new map                                                             S:0MB   V: (4294,1574)  
363438 : visuals.sky$=                                                                        S:0MB   V: (4294,1574)  
363446 : visuals.terrain$=                                                                    S:0MB   V: (4294,1574)  
363455 : visuals.vegetation$=                                                                 S:0MB   V: (4294,1574)  
363465 : NEWMAP: _gridedit_clear_settings                                                     S:10MB  V: (4304,1574)  
363472 : NEWMAP: cleantestmapfolder                                                           S:0MB   V: (4304,1574)  
363520 : total extra PFBs=1                                                                   S:16MB  V: (4320,1574)  
363528 : NEWMAP: _terrain_createactualterrain                                                 S:0MB   V: (4320,1574)  
363537 : NEWMAP: Save newly flattened terrain                                                 S:0MB   V: (4320,1574)  
363545 : NEWMAP: Save terrain data                                                            S:0MB   V: (4320,1574)  
363553 : NEWMAP: Finish creating new map                                                      S:0MB   V: (4320,1574)  
363561 : SCANNING SKY SETTINGS                                                                S:0MB   V: (4320,1574)  
363570 : Initialise sky textures                                                              S:0MB   V: (4320,1574)  
363580 : Load sky cube:skybank\\_cube.dds                                                     S:0MB   V: (4320,1574)  
363591 : update probes for the sky                                                            S:9MB   V: (4329,1574)  
363602 :                                                                                      S:0MB   V: (4329,1574)  
363610 : INIT POST PROCESSING                                                                 S:0MB   V: (4329,1574)  
363618 : INIT RAGDOLL SYSTEM                                                                  S:0MB   V: (4329,1574)  
363627 : CREATING P-LIST                                                                      S:0MB   V: (4329,1574)  
363636 : Preparing ProjectileTypes                                                            S:0MB   V: (4329,1574)  
363646 : Loading ProjectileTypes                                                              S:0MB   V: (4329,1574)  
363654 : common\explode\a.dds                                                                 S:0MB   V: (4329,1574)  
363662 : common\explode\b.dds                                                                 S:0MB   V: (4329,1574)  
363672 : common\explode\c.dds                                                                 S:0MB   V: (4329,1574)  
363680 : common\explode\explode.txt                                                           S:0MB   V: (4329,1574)  
363690 : common\explode                                                                       S:0MB   V: (4329,1574)  
363780 : loadinternaltextureex (effectbank\reloaded\media\detail_default.dds, 1, 0)=0         S:0MB   V: (4329,1574)  
363814 : common\explode\instantexplode.wav                                                    S:0MB   V: (4329,1574)  
363822 : enhanced\m67\a.dds                                                                   S:0MB   V: (4329,1574)  
363831 : enhanced\m67\b.dds                                                                   S:0MB   V: (4329,1574)  
363839 : enhanced\m67\c.dds                                                                   S:0MB   V: (4329,1574)  
363848 : enhanced\m67\handgrenadeexplode.wav                                                  S:0MB   V: (4329,1574)  
363855 : enhanced\m67\handgrenadefallhard.wav                                                 S:0MB   V: (4329,1574)  
363865 : enhanced\m67\handgrenadefallsoft.wav                                                 S:0MB   V: (4329,1574)  
363873 : enhanced\m67\m67.dbo                                                                 S:0MB   V: (4329,1574)  
363880 : enhanced\m67\m67.txt                                                                 S:0MB   V: (4329,1574)  
363921 : enhanced\m67                                                                         S:0MB   V: (4329,1574)  
364036 : enhanced\m67\m67_D.dds                                                               S:3MB   V: (4333,1577)  
364044 : enhanced\m67\m67_N.dds                                                               S:0MB   V: (4333,1577)  
364054 : enhanced\m67\m67_S.dds                                                               S:0MB   V: (4333,1577)  
364063 : enhanced\m67\m67_surface.dds                                                         S:0MB   V: (4333,1577)  
364073 : modern\rpggrenade\rpggrenade.txt                                                     S:0MB   V: (4333,1577)  
364083 : modern\rpggrenade                                                                    S:0MB   V: (4333,1577)  
364380 : modern\rpggrenade\rpggrenade.x                                                       S:2MB   V: (4335,1578)  
364388 : modern\rpggrenade\rpggrenadeexplode.wav                                              S:0MB   V: (4335,1578)  
364401 : modern\rpggrenade\rpggrenadefly.wav                                                  S:0MB   V: (4335,1578)  
364415 : modern\rpggrenade\rpggrenade_D.dds                                                   S:0MB   V: (4335,1578)  
364427 : modern\rpggrenade\rpggrenade_N.dds                                                   S:0MB   V: (4335,1578)  
364437 : modern\rpggrenade\rpggrenade_S.dds                                                   S:0MB   V: (4335,1578)  
364446 : modern\rpggrenade\rpggrenade_surface.dds                                             S:0MB   V: (4335,1578)  
364454 : TracerParticle.dbo                                                                   S:0MB   V: (4335,1578)  
364464 :                                                                                      S:0MB   V: (4335,1578)  
364473 : CREATING E-LIST                                                                      S:0MB   V: (4335,1578)  
364567 : LOADING INTO P-LIST                                                                  S:11MB  V: (4346,1579)  
364577 : REFRESH SKY ASSETS                                                                   S:0MB   V: (4346,1579)  
364587 : entering skybank                                                                     S:0MB   V: (4346,1579)  
364596 : checking skybank files                                                               S:0MB   V: (4346,1579)  
364607 : clear                                                                                S:0MB   V: (4346,1579)  
364628 : cloudy                                                                               S:0MB   V: (4347,1579)  
364647 : highcloud                                                                            S:0MB   V: (4347,1579)  
364673 : night                                                                                S:0MB   V: (4347,1579)  
364691 : overcast                                                                             S:0MB   V: (4347,1580)  
364708 : stormy                                                                               S:0MB   V: (4347,1580)  
364725 : sunny                                                                                S:0MB   V: (4348,1580)  
364745 : sunrise                                                                              S:0MB   V: (4348,1580)  
364765 : sunset                                                                               S:0MB   V: (4348,1580)  
364784 : entering skybank                                                                     S:0MB   V: (4348,1581)  
364794 : finished sky bank scan                                                               S:0MB   V: (4348,1581)  
364802 : REFRESH B-LIST ASSETS                                                                S:0MB   V: (4348,1581)  
366192 : loading in collection - items.tsv                                                    S:235MB V: (4583,2257)  
366204 : loading collection complete                                                          S:0MB   V: (4584,2260)  
367207 : REFRESH SKY ASSETS                                                                   S:-1MB  V: (4582,2269)  
367215 : entering skybank                                                                     S:0MB   V: (4582,2269)  
367223 : checking skybank files                                                               S:0MB   V: (4582,2269)  
367231 : clear                                                                                S:0MB   V: (4582,2269)  
367241 : cloudy                                                                               S:0MB   V: (4582,2269)  
367250 : highcloud                                                                            S:0MB   V: (4582,2269)  
367259 : night                                                                                S:0MB   V: (4582,2269)  
367268 : overcast                                                                             S:0MB   V: (4583,2270)  
367277 : stormy                                                                               S:0MB   V: (4583,2270)  
367287 : sunny                                                                                S:0MB   V: (4583,2270)  
367295 : sunrise                                                                              S:0MB   V: (4583,2270)  
367305 : sunset                                                                               S:0MB   V: (4583,2270)  
367315 : entering skybank                                                                     S:0MB   V: (4583,2270)  
367325 : finished sky bank scan                                                               S:0MB   V: (4583,2270)  
367333 : REFRESH B-LIST ASSETS                                                                S:0MB   V: (4583,2270)  
367607 : IMG: editors\uiv3\user-splash-screen.png,49000,0,0                                   S:44MB  V: (4627,2314)  
1281144 : saving collection - items.tsv                                                       S:-100MBV: (4527,1364)  
1281155 : DONE saving collection - items.tsv                                                  S:0MB   V: (4527,1364)  
1281161 : saving collection - quests.tsv                                                      S:0MB   V: (4527,1364)  
1281169 : DONE saving collection - quests.tsv                                                 S:0MB   V: (4527,1364)  
1775264 : loading in collection - items.tsv                                                   S:49MB  V: (4577,1382)  
1775273 : title	profile	image	description	cost	value	container	ingredients	style              S:0MB   V: (4577,1382)  
1775280 :                                                                                     S:0MB   V: (4577,1382)  
1775288 : loading collection complete                                                         S:0MB   V: (4577,1382)  
1775422 : REFRESH SKY ASSETS                                                                  S:62MB  V: (4640,1383)  
